id,url,ja,zh_cn,zh_tw,en,translate,note,source
76,https://www.busfan.club/genre/76,AV OPEN 2015 女優部門,AV OPEN 2015 女优部门,AV OPEN 2015 女優部門,AV OPEN 2015 Porn Star Division,,,javbus
71,https://www.busfan.club/genre/71,AV OPEN 2015 熟女部門,AV OPEN 2015 熟女部门,AV OPEN 2015 熟女部門,AV OPEN 2015 Cougar Division,,,javbus
74,https://www.busfan.club/genre/74,AV OPEN 2015 素人部門,AV OPEN 2015 素人部门,AV OPEN 2015 素人部門,AV OPEN 2015 Amateur Division,,,javbus
7q,https://www.busfan.club/genre/7q,AVOPEN2016ドラマ・ドキュメンタリー部門,,AVOPEN2016ドラマ・ドキュメンタリー部門,AVOPEN2016ドラマ・ドキュメンタリー部門,,,javbus
7m,https://www.busfan.club/genre/7m,AVOPEN2016ハード部門,,AVOPEN2016ハード部門,AV OPEN 2016 S&M/Hardcore Division,,,javbus
7s,https://www.busfan.club/genre/7s,AVOPEN2016バラエティ部門,,AVOPEN2016バラエティ部門,AVOPEN2016バラエティ部門,,,javbus
7n,https://www.busfan.club/genre/7n,AVOPEN2016マニア・フェチ部門,,AVOPEN2016マニア・フェチ部門,AVOPEN2016マニア・フェチ部門,,,javbus
7o,https://www.busfan.club/genre/7o,AVOPEN2016乙女部門,AVOPEN2016乙女部门,AVOPEN2016乙女部門,AV OPEN 2016 Virgin Division,,,javbus
7k,https://www.busfan.club/genre/7k,AVOPEN2016人妻・熟女部門,,AVOPEN2016人妻・熟女部門,AV OPEN 2016 Kink/Fetish Division,,,javbus
7l,https://www.busfan.club/genre/7l,AVOPEN2016企画部門,AVOPEN2016企画部门,AVOPEN2016企画部門,AV OPEN 2016 Variety Show Division,,,javbus
7p,https://www.busfan.club/genre/7p,AVOPEN2016女優部門,AVOPEN2016女优部门,AVOPEN2016女優部門,AV OPEN 2016 Porn Star Division,,,javbus
7r,https://www.busfan.club/genre/7r,AVOPEN2016素人部門,AVOPEN2016素人部门,AVOPEN2016素人部門,AV OPEN 2016 Amateur Division,,,javbus
uncensored-c,https://www.busfan.club/uncensored/genre/c,AV女優,AV女优,AV女優,AV女優,AV女優,,avsox;javbus
tags?c6=21,https://javdb521.com/tags?c6=21,Abuse,,凌辱,Abuse,凌辱,,javdb
tags?c7=267,https://javdb521.com/tags?c7=267,Action,行动,行動,Action,行动,,javdb
tags?c2=383,https://javdb521.com/tags?c2=383,Adopted daughter,养女,養女,Adopted daughter,養女,,javdb
tags?c7=12,https://javdb521.com/tags?c7=12,Adult Movie,成人电影,成人電影,Adult Movie,成人电影,,javdb
uncensored?c2=55,https://javdb521.com/tags/uncensored?c2=55,Adultery,出轨,出軌,Adultery,出轨,,javdb
tags?c7=284,https://javdb521.com/tags?c7=284,Adventure,冒险,冒險,Adventure,冒险,,javdb
tags?c1=51,https://javdb521.com/tags?c1=51,Affair,出轨,出軌,Affair,出轨,,javdb
tags?c7=88,https://javdb521.com/tags?c7=88,Amateur,业余,業餘,Amateur,业余,,javdb
western?c2=23,https://javdb521.com/tags/western?c2=23,Anal,,肛交,Anal,肛交,,javdb
western?c2=46,https://javdb521.com/tags/western?c2=46,Anal Creampie,肛门射精,肛門射精,Anal Creampie,肛門射精,,javdb
uncensored?c2=51,https://javdb521.com/tags/uncensored?c2=51,Anal Play,,肛交,Anal Play,肛交,,javdb
uncensored?c2=6,https://javdb521.com/tags/uncensored?c2=6,Anal Sex,,肛交,Anal Sex,肛交,,javdb
tags?c2=153,https://javdb521.com/tags?c2=153,Anchorwoman,,女主播,Anchorwoman,女主播,,javdb
uncensored?c5=123,https://javdb521.com/tags/uncensored?c5=123,Anime,动漫,動漫,Anime,動漫,,javdb
tags?c3=230,https://javdb521.com/tags?c3=230,Anime Characters,动画人物,動畫人物,Anime Characters,动画人物,,javdb
uncensored?c4=107,https://javdb521.com/tags/uncensored?c4=107,Announcer,播音员,播音員,Announcer,播音員,,javdb
tags?c5=74,https://javdb521.com/tags?c5=74,Anus,肛门?肛交,肛門?肛交,Anus,肛交,,javdb
tags?c1=316,https://javdb521.com/tags?c1=316,Asian,亚洲,亞洲,Asian,亚洲,,javdb
western?c2=171,https://javdb521.com/tags/western?c2=171,Ass Stacking,叠屁股,疊屁股,Ass Stacking,疊屁股,,javdb
western?c2=44,https://javdb521.com/tags/western?c2=44,Ass to Mouth,肛交转口交,肛交轉口交,Ass to Mouth,肛交轉口交,,javdb
tags?c6=364,https://javdb521.com/tags?c6=364,Assisted masturbation,辅助自慰,輔助自慰,Assisted masturbation,輔助自慰,,javdb
western?c1=94,https://javdb521.com/tags/western?c1=94,Average Body,匀称身材,勻稱身材,Average Body,勻稱身材,,javdb
western?c1=198,https://javdb521.com/tags/western?c1=198,BBW,大号美女,大號美女,BBW,大號美女,,javdb
western?c0=197,https://javdb521.com/tags/western?c0=197,Babysitter,,保姆,Babysitter,保姆,,javdb
uncensored?c2=41,https://javdb521.com/tags/uncensored?c2=41,Back cowgirl,背部骑乘位,背部騎乘位,Back cowgirl,背部騎乘位,,javdb
western?c2=191,https://javdb521.com/tags/western?c2=191,Ball Gag,,口塞器,Ball Gag,口塞器,,javdb
western?c0=174,https://javdb521.com/tags/western?c0=174,Ballerina,,芭蕾,Ballerina,芭蕾,,javdb
western?c4=125,https://javdb521.com/tags/western?c4=125,Bar,,酒吧,Bar,酒吧,,javdb
tags?c1=165,https://javdb521.com/tags?c1=165,Bath,,洗澡,Bath,洗澡,,javdb
western?c4=105,https://javdb521.com/tags/western?c4=105,Bathroom,,浴室,Bathroom,浴室,,javdb
western?c4=160,https://javdb521.com/tags/western?c4=160,Bathtub,,浴缸,Bathtub,浴缸,,javdb
western?c4=107,https://javdb521.com/tags/western?c4=107,Beach,海滩,海灘,Beach,海灘,,javdb
tags?c2=5,https://javdb521.com/tags?c2=5,Beautiful Girl,,美少女,Beautiful Girl,美少女,,javdb
tags?c7=312,https://javdb521.com/tags?c7=312,Beautiful Girl Movie,美少女电影,美少女電影,Beautiful Girl Movie,美少女电影,,javdb
uncensored?c3=84,https://javdb521.com/tags/uncensored?c3=84,Beautiful Pussy,,美穴,Beautiful Pussy,美穴,,javdb
uncensored?c4=105,https://javdb521.com/tags/uncensored?c4=105,Beautiful Skin,雪白皮肤,雪白皮膚,Beautiful Skin,雪白皮膚,,javdb
tags?c4=339,https://javdb521.com/tags?c4=339,Beautiful foot,美脚,美腳,Beautiful foot,美脚,,javdb
uncensored?c3=71,https://javdb521.com/tags/uncensored?c3=71,Beautiful girl,,美少女,Beautiful girl,美少女,,javdb
uncensored?c3=81,https://javdb521.com/tags/uncensored?c3=81,Beautiful legs,美脚,美腳,Beautiful legs,美脚,,javdb
uncensored?c3=91,https://javdb521.com/tags/uncensored?c3=91,Beautiful mixed girl,,混血美女,Beautiful mixed girl,混血美女,,javdb
uncensored?c3=75,https://javdb521.com/tags/uncensored?c3=75,Beauty,,美女,Beauty,美女,,javdb
tags?c1=135,https://javdb521.com/tags?c1=135,Beauty Shop,,美容院,Beauty Shop,美容院,,javdb
western?c4=281,https://javdb521.com/tags/western?c4=281,Bedroom,卧室,臥室,Bedroom,臥室,,javdb
uncensored?c3=290,https://javdb521.com/tags/uncensored?c3=290,Beginner (novice),单纯,單純,Beginner (novice),單純,,javdb
western?c6=161,https://javdb521.com/tags/western?c6=161,Behind The Scenes,幕后花絮,幕後花絮,Behind The Scenes,幕後花絮,,javdb
tags?c7=8,https://javdb521.com/tags?c7=8,"Best, Omnibus",精选综合,精選綜合,"Best, Omnibus",精选?综合,,javdb
western?c1=50,https://javdb521.com/tags/western?c1=50,Big Cock,大阴茎,大陰莖,Big Cock,大陰莖,,javdb
tags?c4=17,https://javdb521.com/tags?c4=17,Big Tits,,巨乳,Big Tits,巨乳,,javdb
western?c1=37,https://javdb521.com/tags/western?c1=37,Big ass,,大屁股,Big ass,大屁股,,javdb
tags?c4=98,https://javdb521.com/tags?c4=98,Big cock,巨大阴茎,巨大陰莖,Big cock,巨根,,javdb
western?c1=13,https://javdb521.com/tags/western?c1=13,Big tits,,巨乳,Big tits,巨乳,,javdb
uncensored?c4=113,https://javdb521.com/tags/uncensored?c4=113,Bikini,,比基尼,Bikini,比基尼,,javdb
tags?c1=244,https://javdb521.com/tags?c1=244,Bizarre,奇异的,奇異的,Bizarre,猎奇,,javdb
tags?c2=137,https://javdb521.com/tags?c2=137,Black Actor,黑人演员,黑人演員,Black Actor,黑人演员,,javdb
western?c1=39,https://javdb521.com/tags/western?c1=39,Black Hair,黑发,黑髮,Black Hair,黑髮,,javdb
uncensored?c4=151,https://javdb521.com/tags/uncensored?c4=151,Black pantyhose,连裤袜,連褲襪,Black pantyhose,连裤袜,,javdb
tags?c1=349,https://javdb521.com/tags?c1=349,BlackNWhite,,黑白配,BlackNWhite,黑白配,,javdb
tags?c3=4,https://javdb521.com/tags?c3=4,Blazer,,制服外套,Blazer,制服外套,,javdb
western?c3=70,https://javdb521.com/tags/western?c3=70,Blind Fold,,眼罩,Blind Fold,眼罩,,javdb
western?c1=14,https://javdb521.com/tags/western?c1=14,Blonde,金发,金髮,Blonde,金髮,,javdb
uncensored?c5=126,https://javdb521.com/tags/uncensored?c5=126,Blonde hair,金发,金發,Blonde hair,金發,,javdb
tags?c3=127,https://javdb521.com/tags?c3=127,Bloomers,运动短裤,運動短褲,Bloomers,运动短裤,,javdb
uncensored?c4=111,https://javdb521.com/tags/uncensored?c4=111,"Bloomers, physical education clothes",运动装,運動裝,"Bloomers, physical education clothes",運動裝,,javdb
western?c3=155,https://javdb521.com/tags/western?c3=155,Blouse,衬衫,襯衫,Blouse,襯衫,,javdb
tags?c5=72,https://javdb521.com/tags?c5=72,Blow,,口交,Blow,口交,,javdb
uncensored?c2=66,https://javdb521.com/tags/uncensored?c2=66,Blowjob,,口交,Blowjob,口交,,javdb
aqgq,https://www.b49t.com/cn/vl_genre.php?g=aqgq,Blu-ray（ブルーレイ）,蓝光,藍光,Blu-ray,蓝光,,javlib
western?c1=47,https://javdb521.com/tags/western?c1=47,Blue Eyes,蓝色眼晴,藍色眼晴,Blue Eyes,藍色眼晴,,javdb
western?c4=113,https://javdb521.com/tags/western?c4=113,Boat,,船,Boat,船,,javdb
tags?c3=99,https://javdb521.com/tags?c3=99,Body Conscious,身体意识,身體意識,Body Conscious,身体意识,,javdb
western?c0=178,https://javdb521.com/tags/western?c0=178,Body Painting,人体彩绘,人體彩繪,Body Painting,人體彩繪,,javdb
uncensored?c2=7,https://javdb521.com/tags/uncensored?c2=7,Bondage,束缚,束縛,Bondage,束縛,,javdb
uncensored?c2=43,https://javdb521.com/tags/uncensored?c2=43,Boobsjob,,乳交,Boobsjob,乳交,,javdb
tags?c2=188,https://javdb521.com/tags?c2=188,Booth Girl,展场女孩,展場女孩,Booth Girl,展场女孩,,javdb
western?c3=102,https://javdb521.com/tags/western?c3=102,Boots,,靴子,Boots,靴子,,javdb
western?c5=180,https://javdb521.com/tags/western?c5=180,Boss,老板,老闆,Boss,老闆,,javdb
tags?c5=100,https://javdb521.com/tags?c5=100,Breast Milk,,母乳,Breast Milk,母乳,,javdb
tags?c4=91,https://javdb521.com/tags?c4=91,Breasts,,美乳,Breasts,乳房,,javdb
tags?c2=101,https://javdb521.com/tags?c2=101,"Bride, Young Wife",新娘，年轻妻子,新娘，年輕妻子,"Bride, Young Wife",新娘?年轻妻子,,javdb
western?c3=164,https://javdb521.com/tags/western?c3=164,Briefs,内裤,內褲,Briefs,內褲,,javdb
western?c1=1,https://javdb521.com/tags/western?c1=1,Brunette,褐发,褐髮,Brunette,褐髮,,javdb
western?c1=98,https://javdb521.com/tags/western?c1=98,Bubble Butt,翘臀,翹臀,Bubble Butt,翹臀,,javdb
tags?c3=216,https://javdb521.com/tags?c3=216,Bunny Girl,,兔女郎,Bunny Girl,兔女郎,,javdb
tags?c2=237,https://javdb521.com/tags?c2=237,Bus Guide,车掌小姐,車掌小姐,Bus Guide,车掌小姐,,javdb
western?c5=157,https://javdb521.com/tags/western?c5=157,Business Woman,,女商人,Business Woman,女商人,,javdb
tags?c1=109,https://javdb521.com/tags?c1=109,Busty Fetish,恋乳癖,戀乳癖,Busty Fetish,恋乳癖,,javdb
tags?c4=57,https://javdb521.com/tags?c4=57,Butt,,美臀,Butt,屁股,,javdb
uncensored-gre048,https://www.busfan.club/uncensored/genre/gre048,CA,空中小姐,空中小姐,CA,空中小姐,,avsox;javbus
tags?c6=382,https://javdb521.com/tags?c6=382,Candle,蜡烛,蠟燭,Candle,蠟燭,,javdb
western?c3=154,https://javdb521.com/tags/western?c3=154,Cap,,帽子,Cap,帽子,,javdb
western?c0=108,https://javdb521.com/tags/western?c0=108,Car,汽车,汽車,Car,汽車,,javdb
uncensored?c2=57,https://javdb521.com/tags/uncensored?c2=57,Car Play Car Sex,汽车性爱,汽車性愛,Car Play Car Sex,车震,,javdb
tags?c6=171,https://javdb521.com/tags?c6=171,Car Sex,汽车性爱,汽車性愛,Car Sex,车震,,javdb
tags?c3=116,https://javdb521.com/tags?c3=116,Catgirl,猫耳女,貓耳女,Catgirl,猫耳女,,javdb
tags?c6=232,https://javdb521.com/tags?c6=232,Cervix,子宫颈,子宮頸,Cervix,子宫颈,,javdb
western?c0=51,https://javdb521.com/tags/western?c0=51,Cheating,骗色,騙色,Cheating,騙色,,javdb
tags?c2=371,https://javdb521.com/tags?c2=371,Cheerleader,拉拉队,拉拉隊,Cheerleader,拉拉隊,,javdb
western?c5=129,https://javdb521.com/tags/western?c5=129,Chef,厨师,廚師,Chef,廚師,,javdb
tags?c3=207,https://javdb521.com/tags?c3=207,Cheongsam,,旗袍,Cheongsam,旗袍,,javdb
tags?c2=265,https://javdb521.com/tags?c2=265,Childhood Friend,,童年朋友,Childhood Friend,童年朋友,,javdb
western?c0=184,https://javdb521.com/tags/western?c0=184,Christmas,圣诞,聖誕,Christmas,聖誕,,javdb
tags?c7=117,https://javdb521.com/tags?c7=117,Chroma Key,,去背影片,Chroma Key,绿幕片,从JavLibrary得知日文原文'クロマキー'，是指使用绿幕等抠图然后合成的技术，专业术语'色键'不如'绿幕'好理解,javdb
tags?c7=175,https://javdb521.com/tags?c7=175,Classic,经典,經典,Classic,经典,,javdb
tags?c1=360,https://javdb521.com/tags?c1=360,Climax,绝顶高潮,絕頂高潮,Climax,絕頂高潮,,javdb
tags?c7=168,https://javdb521.com/tags?c7=168,Close Up,局部特写,局部特寫,Close Up,局部特写,,javdb
tags?c7=381,https://javdb521.com/tags?c7=381,Co-act,,共演,Co-act,共演,,javdb
tags?c2=30,https://javdb521.com/tags?c2=30,College Students,女大学生,女大學生,College Students,女大学生,,javdb
uncensored?c3=150,https://javdb521.com/tags/uncensored?c3=150,College student girl,女大学生,女大學生,College student girl,女大学生,,javdb
tags?c2=233,https://javdb521.com/tags?c2=233,Companion,伴侣,伴侶,Companion,伴侣,,javdb
uncensored?c2=15,https://javdb521.com/tags/uncensored?c2=15,Complementary massage,,乳液,Complementary massage,乳汁,,javdb
tags?c6=53,https://javdb521.com/tags?c6=53,Confinement,监禁,監禁,Confinement,监禁,,javdb
tags?c5=209,https://javdb521.com/tags?c5=209,Coprophagy,食粪,食糞,Coprophagy,食粪,,javdb
western?c3=130,https://javdb521.com/tags/western?c3=130,Corset,紧身衣,緊身衣,Corset,紧身衣,,javdb
tags?c3=43,https://javdb521.com/tags?c3=43,Cosplay,,角色扮演,Cosplay,Cosplay,,javdb
tags?c3=297,https://javdb521.com/tags?c3=297,Cosplay Costumes,COSPLAY服饰,COSPLAY服飾,Cosplay Costumes,Cosplay,,javdb
tags?c2=118,https://javdb521.com/tags?c2=118,Cosplayers,,角色扮演者,Cosplayers,角色扮演者,,javdb
tags?c1=173,https://javdb521.com/tags?c1=173,Couple,情侣,情侶,Couple,情侣,,javdb
tags?c6=369,https://javdb521.com/tags?c6=369,Couple exchange,夫妻交换,夫妻交換,Couple exchange,夫妻交換,,javdb
western?c0=104,https://javdb521.com/tags/western?c0=104,Couples Fantasies,情侣幻想,情侶幻想,Couples Fantasies,情侶幻想,,javdb
tags?c5=37,https://javdb521.com/tags?c5=37,Cowgirl,骑乘位,女上位,Cowgirl,女上位,,javdb
tags?c5=18,https://javdb521.com/tags?c5=18,Creampie,内射,中出,Creampie,中出,,javdb
western?c5=131,https://javdb521.com/tags/western?c5=131,Criminal,,罪犯,Criminal,罪犯,,javdb
tags?c3=192,https://javdb521.com/tags?c3=192,Cross Dressing,女装人妖,女裝人妖,Cross Dressing,女装人妖,,javdb
tags?c1=196,https://javdb521.com/tags?c1=196,Cruel Expression,残忍画面,殘忍畫面,Cruel Expression,残忍画面,,javdb
tags?c1=157,https://javdb521.com/tags?c1=157,Cuckold,白天出轨,白天出軌,Cuckold,白天出轨,,javdb
tags?c5=81,https://javdb521.com/tags?c5=81,Cum,,吞精,Cum,吞精,,javdb
uncensored?c2=143,https://javdb521.com/tags/uncensored?c2=143,Cum Eating,,口爆,Cum Eating,口爆,,javdb
uncensored?c2=49,https://javdb521.com/tags/uncensored?c2=49,Cum Eating / Cum,,口爆/吞精,Cum Eating / Cum,口爆/吞精,,javdb
western?c2=121,https://javdb521.com/tags/western?c2=121,Cum Swap,精液交换,精液交換,Cum Swap,精液交換,,javdb
uncensored?c2=13,https://javdb521.com/tags/uncensored?c2=13,Cum inside without condom,无套内射,無套內射,Cum inside without condom,無套內射,,javdb
western?c2=15,https://javdb521.com/tags/western?c2=15,Cumshot,,射精,Cumshot,射精,,javdb
tags?c5=73,https://javdb521.com/tags?c5=73,Cunnilingus,舔阴,舔陰,Cunnilingus,舔阴,,javdb
uncensored?c3=80,https://javdb521.com/tags/uncensored?c3=80,Curls,卷发,捲髮,Curls,捲髮,,javdb
western?c1=92,https://javdb521.com/tags/western?c1=92,Curvy Woman,曲线身材,曲線身材,Curvy Woman,曲線身材,,javdb
uncensored-199,https://www.busfan.club/uncensored/genre/199,Cカップ,C罩杯,C罩杯,Cカップ,C罩杯,,avsox;javbus
5q,https://www.busfan.club/genre/5q,DMM配信限定,DMM专属,DMM專屬,DMM Exclusive,DMM配信限定,发行商不作为影片标签,jav321;javbus
uncensored?c5=131,https://javdb521.com/tags/uncensored?c5=131,DVD is being sold out!,,DVD已售罄,DVD is being sold out!,DVD已售罄,,javdb
4g,https://www.busfan.club/genre/4g,DVDトースター,DVD多士炉,DVD多士爐,DVD Toaster,,一种（过时的）DVD设备，长得像烤面包机。影片的载体不适合作为影片标签,javbus
tags?c1=75,https://javdb521.com/tags?c1=75,Dance,,跳舞,Dance,跳舞,,javdb
tags?c1=318,https://javdb521.com/tags?c1=318,Dark System,,暗黑系,Dark System,暗黑系,,javdb
tags?c2=245,https://javdb521.com/tags?c2=245,Daughter,女儿,女兒,Daughter,女儿,,javdb
tags?c1=184,https://javdb521.com/tags?c1=184,Dead Drunk,烂醉如泥的,爛醉如泥的,Dead Drunk,烂醉如泥的,,javdb
uncensored?c5=130,https://javdb521.com/tags/uncensored?c5=130,Deals omnibus collection,,精品收藏,Deals omnibus collection,精品收藏,,javdb
tags?c7=80,https://javdb521.com/tags?c7=80,Debut Production,,首次亮相,Debut Production,首次亮相,,javdb
western?c2=26,https://javdb521.com/tags/western?c2=26,Deep Throat,,深喉,Deep Throat,深喉,,javdb
tags?c5=123,https://javdb521.com/tags?c5=123,Deep Throating,,深喉,Deep Throating,深喉,,javdb
tags?c5=202,https://javdb521.com/tags?c5=202,Defecation,,排便,Defecation,排便,,javdb
tags?c1=34,https://javdb521.com/tags?c1=34,Delusion,,妄想,Delusion,妄想,,javdb
tags?c7=85,https://javdb521.com/tags?c7=85,Digital Mosaic,数位马赛克,數位馬賽克,Digital Mosaic,,有码分类下面还有不带马赛克的吗？删掉这个标签,javdb
tags?c6=372,https://javdb521.com/tags?c6=372,Dildo,假阳具,假陽具,Dildo,假陽具,,javdb
tags?c5=36,https://javdb521.com/tags?c5=36,Dirty Words,淫语,淫語,Dirty Words,淫语,,javdb
uncensored?c2=23,https://javdb521.com/tags/uncensored?c2=23,Dirty discourse,淫语,淫語,Dirty discourse,淫语,,javdb
western?c5=132,https://javdb521.com/tags/western?c5=132,Doctor,医生,醫生,Doctor,醫生,,javdb
western?c5=88,https://javdb521.com/tags/western?c5=88,Doctor/Nurse,医生/护士,醫生/護士,Doctor/Nurse,醫生/護士,,javdb
tags?c7=97,https://javdb521.com/tags?c7=97,Documentary,纪录片,紀錄片,Documentary,纪录片,,javdb
tags?c5=376,https://javdb521.com/tags?c5=376,Doggy style,后入,後入,Doggy style,后入,,javdb
western?c2=6,https://javdb521.com/tags/western?c2=6,Doggystyle,,背入式,Doggystyle,背入式,,javdb
tags?c3=181,https://javdb521.com/tags?c3=181,Doll,,娃娃,Doll,娃娃,,javdb
western?c5=123,https://javdb521.com/tags/western?c5=123,Dominatrix,,女抖S,Dominatrix,女抖S,,javdb
7c,https://www.busfan.club/genre/7c,Don Cipote's choice,,Don Cipote's choice,Don Cipote's choice,,一个奇怪的标签，而且这个标签下只有一部影片,javbus
uncensored?c2=34,https://javdb521.com/tags/uncensored?c2=34,Double Blow,,左右口交,Double Blow,左右口交,,javdb
uncensored?c2=10,https://javdb521.com/tags/uncensored?c2=10,Double Penetration,双插,二穴同插,Double Penetration,二穴同插,,javdb
tags?c7=11,https://javdb521.com/tags?c7=11,Drama,戏剧,戲劇,Drama,戏剧,,javdb
western?c3=149,https://javdb521.com/tags/western?c3=149,Dress,,裙子,Dress,裙子,,javdb
tags?c6=155,https://javdb521.com/tags?c6=155,Drug,药物,藥物,Drug,药物,,javdb
uncensored-9x,https://www.busfan.club/uncensored/genre/9x,Dカップ,D罩杯,D罩杯,Dカップ,D罩杯,,avsox;javbus
western?c0=187,https://javdb521.com/tags/western?c0=187,Easter,复活节,復活節,Easter,復活節,,javdb
western?c1=52,https://javdb521.com/tags/western?c1=52,Ebony,,黑人美女,Ebony,黑人美女,,javdb
tags?c6=39,https://javdb521.com/tags?c6=39,Egg Vibrator,,跳蛋,Egg Vibrator,跳蛋,,javdb
uncensored?c2=42,https://javdb521.com/tags/uncensored?c2=42,Ekiben sex,车站性交,車站性交,Ekiben sex,車站性交,,javdb
tags?c6=90,https://javdb521.com/tags?c6=90,Electric Massager,女优按摩棒,女優按摩棒,Electric Massager,女优按摩棒,,javdb
uncensored?c2=67,https://javdb521.com/tags/uncensored?c2=67,Endoscope,腔镜,腔鏡,Endoscope,腔鏡,,javdb
tags?c6=138,https://javdb521.com/tags?c6=138,Enema,灌肠,灌腸,Enema,灌肠,,javdb
tags?c2=27,https://javdb521.com/tags?c2=27,Entertainer,艺人,藝人,Entertainer,艺人,,javdb
tags?c3=156,https://javdb521.com/tags?c3=156,Erotic Wear,猥亵穿着,猥褻穿著,Erotic Wear,猥亵穿着,,javdb
western?c0=283,https://javdb521.com/tags/western?c0=283,European,欧洲人,歐洲人,European,歐洲人,,javdb
tags?c1=185,https://javdb521.com/tags?c1=185,Evil,,魔鬼系,Evil,魔鬼系,,javdb
western?c6=19,https://javdb521.com/tags/western?c6=19,Exclusive,独占,獨占,Exclusive,獨占,,javdb
uncensored?c5=124,https://javdb521.com/tags/uncensored?c5=124,Exclusive movies,独占影片,獨占影片,Exclusive movies,獨占影片,,javdb
tags?c1=386,https://javdb521.com/tags?c1=386,Experience confession,经历告白,經歷告白,Experience confession,經歷告白,,javdb
uncensored?c2=53,https://javdb521.com/tags/uncensored?c2=53,Exposed outdoors,,露出,Exposed outdoors,露出,,javdb
tags?c6=159,https://javdb521.com/tags?c6=159,Exposure,,露出,Exposure,露出,,javdb
uncensored?c3=90,https://javdb521.com/tags/uncensored?c3=90,Exquisite glamorous body,精致身材,精緻身材,Exquisite glamorous body,精緻身材,,javdb
uncensored-3z,https://www.busfan.club/uncensored/genre/3z,Eカップ,E罩杯,E罩杯,Eカップ,E罩杯,,avsox;javbus
tags?c5=354,https://javdb521.com/tags?c5=354,FFM,两女一男,兩女一男,FFM,兩女一男,,javdb
western?c2=36,https://javdb521.com/tags/western?c2=36,Face Sitting,颜面骑乘,顏面騎乘,Face Sitting,顏面騎乘,,javdb
uncensored?c2=64,https://javdb521.com/tags/uncensored?c2=64,Facesitting,颜面骑乘,顏面騎乘,Facesitting,顏面騎乘,,javdb
uncensored?c2=8,https://javdb521.com/tags/uncensored?c2=8,Facial,颜射,顏射,Facial,颜射,,javdb
tags?c5=46,https://javdb521.com/tags?c5=46,Facials,颜射,顏射,Facials,颜射,,javdb
uncensored?c5=121,https://javdb521.com/tags/uncensored?c5=121,Famous actress,知名女优,知名女優,Famous actress,知名女優,,javdb
tags?c7=213,https://javdb521.com/tags?c7=213,Fan Appreciation,感谢祭,感謝祭,Fan Appreciation,感谢祭,,javdb
